med_id,medication_name,active_ingredients,dosage_frequency_in_hours,Usage_and_Safety_Instructions,Urgency,category,quantity_on_hand,expiration_date,compliance_rating,pills_per_dose,days,next_intake_time,quantity_needed,start_date,end_date
1,Tylenol,Acetaminophen,6,Take with food,Medium,OTC,20,2027-03-15,4,1,10,2026-09-22 22:00:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
2,Ibuprofen,Ibuprofen,8,Take with food,Medium,OTC,15,2026-09-25,2,1,10,2026-09-22 21:45:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
3,Vitamin D,Cholecalciferol,24,Take with food,Medium,Supplement,30,2027-03-15,3,1,10,2026-09-22 21:26:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
4,NyQuil,"Acetaminophen, Dextromethorphan",8,Avoid alcohol,Medium,OTC,8,2026-10-05,3,2,10,2026-09-23 00:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
5,Amoxicillin,Amoxicillin,8,Complete full course,High,Prescription,6,2026-11-20,4,1,10,2026-09-23 03:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
6,Loratadine,Loratadine,24,Take with food,Medium,OTC,12,2027-03-15,3,1,10,2026-09-23 20:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
7,Multivitamin,Mixed vitamins,12,Take with food,Medium,Supplement,0,2027-03-15,3,2,10,2026-09-23 11:34:10.095156,8,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
8,Cetirizine,Cetirizine,24,Take with food,Medium,OTC,10,2027-03-15,3,1,10,2026-09-22 21:24:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
9,Lisinopril,Lisinopril,24,Take same time daily,High,Prescription,10,2027-06-01,5,1,30,2026-09-22 16:55:03.552165,30,2026-09-17 21:55:03.552165,2026-10-17 21:55:03.552165
10,Omeprazole,Omeprazole,24,Take before breakfast,Medium,Prescription,0,2027-03-15,3,1,10,2026-09-22 19:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
11,Zinc,Zinc sulfate,24,Take with food,Medium,Supplement,40,2027-03-15,3,1,10,2026-09-23 23:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
12,Aspirin,Aspirin,6,Take with food,Medium,OTC,0,2027-03-15,3,1,15,2026-09-22 21:57:03.552165,15,2026-09-17 21:55:03.552165,2026-10-02 21:55:03.552165
13,Codeine Syrup,Codeine,8,Take with food,Medium,Prescription,1,2027-03-15,3,2,10,2026-09-22 22:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
14,Band-Aid Antiseptic,Benzalkonium Chloride,0,Apply to clean wound as needed,Low,First Aid,25,2027-08-10,5,1,1,2026-09-22 22:55:03.552165,1,2026-09-17 21:55:03.552165,2026-09-18 21:55:03.552165
15,Old Cough Syrup,Dextromethorphan,8,Take every 8 hours as needed,Low,OTC,4,2025-05-01,3,1,5,2026-09-22 23:55:03.552165,5,2026-09-17 21:55:03.552165,2026-09-22 21:55:03.552165
16,Tylenol,Acetaminophen,6,Take with food,Medium,OTC,20,2027-03-15,4,1,10,2026-09-23 05:55:03.552165,10,2026-09-17 21:55:03.552165,2026-09-27 21:55:03.552165
